count,mean,std,min,25%,50%,75%,max
1113.0,0.0017969451931716084,0.042371325625523364,0.0,0.0,0.0,0.0,1.0
1113.0,0.0008984725965858042,0.029974532466508982,0.0,0.0,0.0,0.0,1.0
1113.0,0.0017969451931716084,0.042371325625523114,0.0,0.0,0.0,0.0,1.0
1113.0,0.1500449236298293,0.3572759872613547,0.0,0.0,0.0,0.0,1.0
1113.0,0.03234501347708895,0.17699423718117666,0.0,0.0,0.0,0.0,1.0
1113.0,0.0026954177897574125,0.05187070383207446,0.0,0.0,0.0,0.0,1.0
1113.0,0.013477088948787063,0.11535776249779102,0.0,0.0,0.0,0.0,1.0
1113.0,0.0026954177897574125,0.05187070383207459,0.0,0.0,0.0,0.0,1.0
1113.0,0.0008984725965858042,0.0299745324665086,0.0,0.0,0.0,0.0,1.0
1113.0,0.0017969451931716084,0.042371325625523364,0.0,0.0,0.0,0.0,1.0
1113.0,0.008086253369272238,0.0895995473459617,0.0,0.0,0.0,0.0,1.0
1113.0,0.0215633423180593,0.1453180578441025,0.0,0.0,0.0,0.0,1.0
1113.0,0.38454627133872415,0.48670655395689105,0.0,0.0,0.0,1.0,1.0
1113.0,0.005390835579514825,0.07325705570729518,0.0,0.0,0.0,0.0,1.0
1113.0,0.0035938903863432167,0.059868143773614615,0.0,0.0,0.0,0.0,1.0
1113.0,0.020664869721473494,0.14232368872000453,0.0,0.0,0.0,0.0,1.0
1113.0,0.0008984725965858042,0.029974532466508552,0.0,0.0,0.0,0.0,1.0
1113.0,0.0008984725965858042,0.02997453246650859,0.0,0.0,0.0,0.0,1.0
1113.0,0.0017969451931716084,0.042371325625523114,0.0,0.0,0.0,0.0,1.0
1113.0,0.08984725965858041,0.2860913630578819,0.0,0.0,0.0,0.0,1.0
1113.0,0.0017969451931716084,0.04237132562552311,0.0,0.0,0.0,0.0,1.0
1113.0,0.019766397124887692,0.1392591499623957,0.0,0.0,0.0,0.0,1.0
1113.0,0.0071877807726864335,0.08451351342404137,0.0,0.0,0.0,0.0,1.0
1113.0,0.0035938903863432167,0.05986814377361454,0.0,0.0,0.0,0.0,1.0
1113.0,0.014375561545372867,0.11908671880805764,0.0,0.0,0.0,0.0,1.0
1113.0,0.0035938903863432167,0.05986814377361446,0.0,0.0,0.0,0.0,1.0
1113.0,0.022461814914645103,0.1482465093767342,0.0,0.0,0.0,0.0,1.0
1113.0,0.013477088948787063,0.11535776249779107,0.0,0.0,0.0,0.0,1.0
1113.0,0.19227313566936208,0.3942636668511082,0.0,0.0,0.0,0.0,1.0
1113.0,0.019766397124887692,0.1392591499623951,0.0,0.0,0.0,0.0,1.0
1113.0,0.019766397124887692,0.13925914996239566,0.0,0.0,0.0,0.0,1.0
1113.0,0.0035938903863432167,0.059868143773614615,0.0,0.0,0.0,0.0,1.0
1113.0,0.0026954177897574125,0.05187070383207446,0.0,0.0,0.0,0.0,1.0
1113.0,0.0026954177897574125,0.05187070383207446,0.0,0.0,0.0,0.0,1.0
1113.0,0.01078167115902965,0.10331997840268997,0.0,0.0,0.0,0.0,1.0
1113.0,0.13656783468104222,0.34354490497494905,0.0,0.0,0.0,0.0,1.0
1113.0,0.11949685534591195,0.3245180685780483,0.0,0.0,0.0,0.0,1.0
1113.0,0.11859838274932614,0.3234606787243725,0.0,0.0,0.0,0.0,1.0
1113.0,0.04132973944294699,0.1991412137370234,0.0,0.0,0.0,0.0,1.0
1113.0,0.0017969451931716084,0.042371325625523176,0.0,0.0,0.0,0.0,1.0
