count,mean,std,min,25%,50%,75%,max
552.0,0.005434782608695652,0.07358706156709693,0.0,0.0,0.0,0.0,1.0
552.0,0.08333333333333333,0.2766360889523066,0.0,0.0,0.0,0.0,1.0
552.0,0.009057971014492754,0.09482728731281051,0.0,0.0,0.0,0.0,1.0
552.0,0.014492753623188406,0.119618707383528,0.0,0.0,0.0,0.0,1.0
552.0,0.012681159420289856,0.11199585068196957,0.0,0.0,0.0,0.0,1.0
552.0,0.07789855072463768,0.2682549722954547,0.0,0.0,0.0,0.0,1.0
552.0,0.030797101449275364,0.1729242948576592,0.0,0.0,0.0,0.0,1.0
552.0,0.02717391304347826,0.16273742283789497,0.0,0.0,0.0,0.0,1.0
552.0,0.0036231884057971015,0.06013828020702319,0.0,0.0,0.0,0.0,1.0
552.0,0.018115942028985508,0.13349171266316903,0.0,0.0,0.0,0.0,1.0
552.0,0.0018115942028985507,0.04256282653793744,0.0,0.0,0.0,0.0,1.0
552.0,0.005434782608695652,0.07358706156709682,0.0,0.0,0.0,0.0,1.0
552.0,0.0036231884057971015,0.060138280207023276,0.0,0.0,0.0,0.0,1.0
552.0,0.02717391304347826,0.16273742283789497,0.0,0.0,0.0,0.0,1.0
552.0,0.028985507246376812,0.167917920728369,0.0,0.0,0.0,0.0,1.0
552.0,0.009057971014492754,0.09482728731280994,0.0,0.0,0.0,0.0,1.0
552.0,0.034420289855072464,0.18247151030767222,0.0,0.0,0.0,0.0,1.0
552.0,0.0018115942028985507,0.04256282653793765,0.0,0.0,0.0,0.0,1.0
552.0,0.0018115942028985507,0.04256282653793767,0.0,0.0,0.0,0.0,1.0
552.0,0.016304347826086956,0.1267581322152371,0.0,0.0,0.0,0.0,1.0
552.0,0.012681159420289856,0.11199585068196957,0.0,0.0,0.0,0.0,1.0
552.0,0.8260869565217391,0.3793784864512069,0.0,1.0,1.0,1.0,1.0
552.0,0.0018115942028985507,0.042562826537937505,0.0,0.0,0.0,0.0,1.0
552.0,0.0018115942028985507,0.04256282653793748,0.0,0.0,0.0,0.0,1.0
