count,mean,std,min,25%,50%,75%,max
552.0,0.1431159420289855,0.35050868033530735,0.0,0.0,0.0,0.0,1.0
552.0,0.06702898550724638,0.25029901369063423,0.0,0.0,0.0,0.0,1.0
552.0,0.46557971014492755,0.4992662756099599,0.0,0.0,0.0,1.0,1.0
552.0,0.07427536231884058,0.2624563230275565,0.0,0.0,0.0,0.0,1.0
552.0,0.10507246376811594,0.30692490702242425,0.0,0.0,0.0,0.0,1.0
552.0,0.09601449275362318,0.2948783374704908,0.0,0.0,0.0,0.0,1.0
552.0,0.057971014492753624,0.23390059290558005,0.0,0.0,0.0,0.0,1.0
552.0,0.483695652173913,0.5001873711888898,0.0,0.0,0.0,1.0,1.0
552.0,0.6920289855072463,0.4620732249546817,0.0,0.0,1.0,1.0,1.0
552.0,0.059782608695652176,0.23729867353030856,0.0,0.0,0.0,0.0,1.0
552.0,0.05253623188405797,0.223308114745895,0.0,0.0,0.0,0.0,1.0
552.0,2.2971014492753623,1.6897660156103067,1.0,1.0,2.0,3.0,9.0
