count,mean,std,min,25%,50%,75%,max
552.0,0.06884057971014493,0.25341249190691534,0.0,0.0,0.0,0.0,1.0
552.0,0.19021739130434784,0.3928285761287109,0.0,0.0,0.0,0.0,1.0
552.0,0.1721014492753623,0.3778109705067881,0.0,0.0,0.0,0.0,1.0
552.0,0.030797101449275364,0.17292429485765934,0.0,0.0,0.0,0.0,1.0
552.0,0.04710144927536232,0.2120480132547814,0.0,0.0,0.0,0.0,1.0
552.0,0.06159420289855073,0.24063511360017112,0.0,0.0,0.0,0.0,1.0
552.0,0.03804347826086957,0.19147477577412828,0.0,0.0,0.0,0.0,1.0
552.0,0.034420289855072464,0.1824715103076724,0.0,0.0,0.0,0.0,1.0
552.0,0.2807971014492754,0.4497961814594083,0.0,0.0,0.0,1.0,1.0
552.0,0.06340579710144928,0.24391244264274708,0.0,0.0,0.0,0.0,1.0
552.0,0.07065217391304347,0.25647535982020364,0.0,0.0,0.0,0.0,1.0
552.0,0.07427536231884058,0.26245632302755695,0.0,0.0,0.0,0.0,1.0
552.0,0.09963768115942029,0.29978796964608756,0.0,0.0,0.0,0.0,1.0
552.0,0.06884057971014493,0.2534124919069153,0.0,0.0,0.0,0.0,1.0
552.0,1.3007246376811594,0.6025952796391844,1.0,1.0,1.0,1.0,4.0
